Unnamed: 0,full_id,osm_id,osm_type,Building Area,Area,S_coeff,W_coeff,E_coeff
0,r6994474,6994474,relation,2126.07,224.03462625,0.3,0.3,0.4
1,r7029524,7029524,relation,1417.46,149.3648475,0.26,0.3,0.44
2,r7171941,7171941,relation,2950.09,310.86573375,0.36,0.43,0.21
3,r8699736,8699736,relation,297.77,31.37751375,0.69,0.17,0.14
4,w158852142,158852142,way,428.86,45.1911225,0.41,0.27,0.32
5,w211715359,211715359,way,10997.95,1158.90898125,0.55,0.33,0.12
6,w211715360,211715360,way,4347.32,458.0988449999999,0.4599999999999999,0.42,0.12
7,w211715361,211715361,way,6673.6,703.2306,0.48,0.1699999999999999,0.35
8,w222798664,222798664,way,1667.52,175.71491999999998,0.15,0.26,0.59
9,w246792829,246792829,way,1277.89,134.65765875,0.36,0.48,0.16
10,w275970161,275970161,way,381.05,40.15314375,0.15,0.3,0.55
11,w276462198,276462198,way,1597.79,168.36712125,0.51,0.39,0.1
12,w276462425,276462425,way,2101.84,221.48139,0.1,0.62,0.28
13,w276462596,276462596,way,6917.77,728.96001375,0.29,0.35,0.36
14,w276465517,276465517,way,4254.66,448.3347975,0.2299999999999999,0.35,0.42
15,w276612247,276612247,way,752.39,79.28309625,0.55,0.2799999999999999,0.17
16,w276614920,276614920,way,544.84,57.412515,0.3999999999999999,0.3,0.3
17,w306190105,306190105,way,423.46,44.6220975,0.5,0.37,0.13
18,w310793317,310793317,way,2849.37,300.25236375,0.12,0.32,0.56
19,w334608597,334608597,way,1242.48,130.92633,0.01,0.68,0.31
20,w360350164,360350164,way,4278.42,450.8385075,0.38,0.46,0.16
21,w451463764,451463764,way,148.36,15.633435,0.25,0.18,0.57
22,w457081001,457081001,way,5026.58,529.6758675,0.35,0.47,0.18
23,w457081002,457081002,way,288.34,30.383827499999995,0.36,0.47,0.17
24,w469681591,469681591,way,846.75,89.22628125,0.49,0.45,0.06
25,w470854913,470854913,way,12411.42,1307.8533825,0.25,0.36,0.39
26,w470857032,470857032,way,4210.54,443.6856525,0.37,0.26,0.37
27,w470857041,470857041,way,3609.05,380.30364375,0.13,0.45,0.42
28,w470857149,470857149,way,3200.93,337.29799875,0.19,0.57,0.24
29,w470857717,470857717,way,1713.6,180.5706,0.34,0.42,0.24
30,w470861033,470861033,way,1452.42,153.0487575,0.15,0.48,0.37
31,w470873257,470873257,way,168.19,17.72302125,0.38,0.54,0.08
32,w471794722,471794722,way,1488.02,156.8001075,0.13,0.76,0.11
33,w471798098,471798098,way,2252.21,237.32662875,0.43,0.13,0.44
34,w471806511,471806511,way,2117.49,223.13050875,0.39,0.32,0.29
35,w471807964,471807964,way,601,63.330375,0.1699999999999999,0.06,0.77
36,w471808314,471808314,way,311.12,32.78427,0.07,0.72,0.21
37,w471814282,471814282,way,632.72,66.67287,0.16,0.38,0.46
38,w471826095,471826095,way,358.11,37.73584125,0.43,0.56,0.01
39,w471832770,471832770,way,627.18,66.08909249999999,0.39,0.03,0.58
40,w471833472,471833472,way,556.9,58.68333749999999,0.08,0.5,0.42
41,w471834676,471834676,way,925.9,97.5667125,0.21,0.57,0.22
42,w471847569,471847569,way,240.4,25.33215,0.18,0.48,0.34
43,w471868674,471868674,way,635.48,66.963705,0.38,0.34,0.28
44,w471870777,471870777,way,771.24,81.269415,0.21,0.25,0.54
45,w471892367,471892367,way,897.22,94.5445575,0.03,0.03,0.94
46,w471937110,471937110,way,2158.68,227.470905,0.49,0.24,0.27
47,w471949662,471949662,way,920.88,97.03773,0.33,0.11,0.56
48,w471950486,471950486,way,3183.88,335.501355,0.28,0.31,0.41
49,w471960417,471960417,way,2569.82,270.7947825,0.28,0.27,0.45
50,w471961055,471961055,way,978.07,103.06412625,0.18,0.6,0.22
51,w471961056,471961056,way,275.96,29.079284999999995,0.41,0.31,0.28
52,w471963602,471963602,way,7248.54,763.8149025,0.3999999999999999,0.18,0.42
53,w471964854,471964854,way,886.93,93.46024875,0.54,0.13,0.33
54,w471966641,471966641,way,5990.79,631.27949625,0.32,0.38,0.3
55,w471968311,471968311,way,406.65,42.85074375,0.02,0.51,0.47
56,w472275200,472275200,way,1780.62,187.6328325,0.56,0.0,0.44
57,w472275205,472275205,way,132.69,13.98220875,0.16,0.55,0.29
58,w472275544,472275544,way,27932.94,2943.4335525,0.3999999999999999,0.1399999999999999,0.46
59,w472369085,472369085,way,1143.14,120.4583775,0.28,0.4,0.32
60,w472392544,472392544,way,1089.38,114.7934175,0.38,0.26,0.36
61,w472398031,472398031,way,234.78,24.7399425,0.33,0.51,0.16
62,w472411995,472411995,way,54.08,5.69868,0.2799999999999999,0.35,0.37
63,w472418907,472418907,way,828.7,87.3242625,0.31,0.45,0.24
64,w472420794,472420794,way,183.71,19.35844125,0.34,0.2,0.46
65,w472423762,472423762,way,442.39,46.61684625,0.2,0.32,0.48
66,w472427810,472427810,way,1225.1,129.0949125,0.43,0.27,0.3
67,w472427813,472427813,way,2304.2,242.805075,0.45,0.54,0.01
68,w473444135,473444135,way,4680.22,493.1781825,0.64,0.08,0.28
69,w473453431,473453431,way,397,41.833875,0.03,0.72,0.25
70,w475448882,475448882,way,94.44,9.951615,0.46,0.02,0.52
71,w475449239,475449239,way,127.02,13.384732499999998,0.1399999999999999,0.36,0.5
72,w475616869,475616869,way,637.34,67.1597025,0.05,0.41,0.54
73,w475691042,475691042,way,3667.42,386.4543825,0.17,0.12,0.71
74,w475720681,475720681,way,17289.03,1821.83153625,0.15,0.41,0.44
75,w475726035,475726035,way,915.68,96.48978,0.58,0.06,0.36
76,w475743546,475743546,way,1916.52,201.953295,0.4,0.23,0.37
77,w475955282,475955282,way,1164.31,122.68916625,0.22,0.37,0.41
78,w476744098,476744098,way,837.54,88.2557775,0.35,0.09,0.56
79,w476748298,476748298,way,104.48,11.00958,0.52,0.13,0.35
80,w476751523,476751523,way,3256.47,343.15052625,0.38,0.45,0.17
81,w476752904,476752904,way,1153.38,121.5374175,0.36,0.3399999999999999,0.3
82,w476754097,476754097,way,549.57,57.91093875000001,0.25,0.5,0.25
83,w476767732,476767732,way,5335.77,562.25676375,0.2299999999999999,0.1999999999999999,0.5700000000000001
84,w477680540,477680540,way,2108.97,222.23271375,0.22,0.14,0.64
85,w477681559,477681559,way,308.6,32.518725,0.43,0.3,0.27
86,w477683531,477683531,way,1259.12,132.67977,0.45,0.49,0.06
87,w478154604,478154604,way,196.03,20.65666125,0.52,0.01,0.47
88,w478824512,478824512,way,114.71,12.087566249999998,0.0,0.45,0.55
89,w478919470,478919470,way,16.48,,,,
90,w482560351,482560351,way,550.13,57.96994875,0.34,0.41,0.25
91,w482663286,482663286,way,380.1,40.0530375,0.06,0.42,0.52
92,w482663294,482663294,way,412.93,43.51249875,0.44,0.23,0.33
93,w482692533,482692533,way,1299.45,136.92954375,0.03,0.52,0.45
94,w482693532,482693532,way,12627.63,1330.6365112499998,0.55,0.42,0.03
95,w482824932,482824932,way,2014.49,212.27688375,0.13,0.18,0.69
96,w482824933,482824933,way,221.22,23.3110575,0.41,0.38,0.21
97,w482824940,482824940,way,254.41,26.80845375,0.57,0.43,0.0
98,w482824945,482824945,way,574.25,60.51159375,0.44,0.54,0.02
99,w482847065,482847065,way,825.61,86.99865375,0.57,0.32,0.11
100,w484142317,484142317,way,42202.19,4447.05577125,0.06,0.27,0.67
101,w484149718,484149718,way,321.82,33.9117825,0.05,0.58,0.37
102,w486178725,486178725,way,1020.47,107.53202625,0.4,0.09,0.51
103,w486180357,486180357,way,589.8,62.15017499999999,0.4599999999999999,0.13,0.41
104,w488116637,488116637,way,574.75,60.56428125,0.26,0.1,0.64
105,w494844375,494844375,way,428.18,45.1194675,0.01,0.45,0.54
106,w495288557,495288557,way,166.09,17.50173375,0.15,0.35,0.5
107,w495289198,495289198,way,205.58,21.6629925,0.58,0.0,0.42
108,w495289201,495289201,way,177.18,18.6703425,0.24,0.38,0.38
109,w504624472,504624472,way,588.5,62.0131875,0.34,0.29,0.37
110,w504625974,504625974,way,4624.5,487.3066875,0.38,0.04,0.58
111,w504627428,504627428,way,403.64,42.533565,0.18,0.12,0.7
112,w506258669,506258669,way,1580.75,166.57153125,0.15,0.67,0.18
113,w506258673,506258673,way,7355.42,775.0773825,0.23,0.32,0.45
114,w506258680,506258680,way,5608.9,591.0378374999999,0.43,0.55,0.02
115,w506274183,506274183,way,617.68,65.08802999999999,0.09,0.1,0.81
116,w506294760,506294760,way,310.34,32.702077499999994,0.42,0.54,0.04
117,w506297655,506297655,way,149.69,15.773583749999998,0.04,0.51,0.45
118,w506297776,506297776,way,91.8,9.673425,0.48,0.18,0.34
119,w510573954,510573954,way,12316.14,1297.8132525,0.72,0.12,0.16
120,w516261848,516261848,way,10.35,,,,
121,w516262156,516262156,way,428.22,45.1236825,0.19,0.53,0.28
122,w520426091,520426091,way,176.21,18.56812875,0.21,0.45,0.34
123,w520426092,520426092,way,2020.79,212.94074625,0.29,0.48,0.23
124,w528153537,528153537,way,1554.02,163.7548575,0.42,0.02,0.56
125,w533817233,533817233,way,754.59,79.51492125,0.44,0.45,0.11
126,w533817237,533817237,way,1706.87,179.86142625,0.34,0.14,0.52
127,w533818162,533818162,way,689.6,72.6666,0.78,0.0,0.22
128,w533818170,533818170,way,483.78,50.9783175,0.39,0.44,0.17
129,w533818171,533818171,way,703.27,74.10707624999999,0.26,0.1,0.64
130,w533818175,533818175,way,630,66.38625,0.34,0.2,0.46
131,w533818266,533818266,way,802.05,84.51601874999999,0.24,0.52,0.24
132,w533819771,533819771,way,1086.01,114.43830375,0.47,0.07,0.46
133,w533819772,533819772,way,397.66,41.9034225,0.22,0.39,0.39
134,w533819775,533819775,way,564.86,59.5221225,0.43,0.4,0.17
135,w533819776,533819776,way,656.1,69.1365375,0.29,0.65,0.06
136,w533821089,533821089,way,529.9,55.8382125,0.46,0.12,0.42
137,w533821090,533821090,way,796.63,83.94488625,0.72,0.15,0.13
138,w533822055,533822055,way,277.25,29.21521875,0.53,0.38,0.09
139,w534569497,534569497,way,149.4,15.743025,0.46,0.2,0.34
140,w534569501,534569501,way,167.27,17.62607625,0.54,0.35,0.11
141,w534573301,534573301,way,129.3,13.6249875,0.38,0.33,0.29
142,w535343094,535343094,way,89.16,9.395235,0.24,0.36,0.4
143,w535346947,535346947,way,1380.15,145.43330625000002,0.4,0.03,0.57
144,w535359998,535359998,way,5080.39,535.3460962500001,0.47,0.41,0.12
145,w535368180,535368180,way,81.28,8.56488,0.62,0.02,0.36
146,w541775517,541775517,way,330.3,34.8053625,0.24,0.38,0.38
147,w541779229,541779229,way,643.12,67.76877,0.43,0.3,0.27
148,w541914145,541914145,way,545.47,57.47890125,0.19,0.02,0.79
149,w541923135,541923135,way,544.12,57.336645,0.42,0.41,0.17
150,w541965092,541965092,way,884.52,93.206295,0.44,0.53,0.03
151,w541965101,541965101,way,2784.8,293.4483,0.48,0.49,0.03
152,w541969488,541969488,way,2730.15,287.68955625,0.05,0.54,0.41
153,w543183748,543183748,way,508.28,53.560005,0.28,0.64,0.08
154,w543183749,543183749,way,54.75,5.76928125,0.56,0.41,0.03
155,w543189524,543189524,way,493.56,52.008885,0.0,0.98,0.02
156,w554132282,554132282,way,164.86,17.3721225,0.52,0.41,0.07
157,w565764356,565764356,way,13.4,,,,
158,w574606560,574606560,way,737.11,77.67296625,0.14,0.49,0.37
159,w574606573,574606573,way,368.22,38.8011825,0.24,0.26,0.5
160,w574612623,574612623,way,767.26,80.8500225,0.4,0.22,0.38
161,w574617561,574617561,way,373.37,39.34386375,0.37,0.0,0.63
162,w574617568,574617568,way,707.68,74.57177999999999,0.12,0.4,0.48
163,w574617569,574617569,way,695.6,73.29885,0.29,0.1,0.61
164,w579393918,579393918,way,546.73,57.61167375,0.6,0.29,0.11
165,w579405944,579405944,way,6110.85,643.9308187500001,0.52,0.13,0.35
166,w579411994,579411994,way,994.35,104.77963125,0.26,0.35,0.39
167,w579411999,579411999,way,531.03,55.95728625,0.36,0.37,0.27
168,w579412003,579412003,way,517.65,54.54736875,0.44,0.17,0.39
169,w586115796,586115796,way,722.3,76.11236249999999,0.21,0.41,0.38
170,w586115799,586115799,way,538.8,56.77604999999999,0.13,0.44,0.43
171,w588230674,588230674,way,1073.07,113.07475125,0.28,0.39,0.33
172,w588230676,588230676,way,1057.04,111.38559,0.45,0.22,0.33
173,w588230681,588230681,way,638.39,67.27034625,0.25,0.31,0.44
174,w588230696,588230696,way,996.03,104.95666125,0.2,0.41,0.39
175,w588232920,588232920,way,1416.32,149.24472,0.23,0.46,0.31
176,w588237662,588237662,way,2228.86,234.8661225,0.35,0.36,0.29
177,w588237665,588237665,way,1137.27,119.83982625,0.25,0.3,0.45
178,w588237910,588237910,way,484.49,51.05313375,0.23,0.14,0.63
179,w588238459,588238459,way,693.32,73.058595,0.62,0.34,0.04
180,w588814368,588814368,way,372.92,39.296445,0.1,0.53,0.37
181,w592485510,592485510,way,740,77.97749999999999,0.25,0.24,0.51
182,w592487869,592487869,way,341.26,35.960272499999995,0.3,0.46,0.24
183,w592487872,592487872,way,663.66,69.9331725,0.37,0.16,0.47
184,w592487873,592487873,way,1378.23,145.23098625,0.31,0.14,0.55
185,w592487874,592487874,way,1044.92,110.108445,0.41,0.25,0.34
186,w592488496,592488496,way,1143.32,120.477345,0.36,0.21,0.43
187,w592488500,592488500,way,550.87,58.04792625,0.19,0.43,0.38
188,w592781545,592781545,way,395.97,41.72533875,0.04,0.57,0.39
189,w592868589,592868589,way,989.49,104.26750875,0.3,0.28,0.42
190,w592868597,592868597,way,868.32,91.49922,0.31,0.39,0.3
191,w592868598,592868598,way,1836.61,193.53277875,0.2,0.41,0.39
192,w592874727,592874727,way,581.26,61.2502725,0.11,0.29,0.6
193,w601833450,601833450,way,1112.4,117.21915,0.57,0.39,0.04
194,w601844646,601844646,way,729.84,76.90689,0.36,0.09,0.55
195,w603537107,603537107,way,211.86,22.3247475,0.16,0.27,0.57
196,w603537108,603537108,way,1352.01,142.46805375,0.31,0.38,0.31
197,w605088179,605088179,way,519.82,54.77603250000001,0.51,0.01,0.48
198,w620980889,620980889,way,420.44,44.303865,0.38,0.22,0.4
199,w620983100,620983100,way,30.25,,,,
200,w620984134,620984134,way,473.24,49.867665,0.37,0.19,0.44
201,w620985278,620985278,way,597.13,62.92257375,0.15,0.81,0.04
202,w621816027,621816027,way,21.78,,,,
203,w621838492,621838492,way,541.87,57.09955125,0.16,0.52,0.32
204,w622149918,622149918,way,771.01,81.24517875,0.12,0.5,0.38
205,w625669094,625669094,way,876.23,92.33273625,0.14,0.84,0.02
206,w625671304,625671304,way,425.45,44.83179375,0.19,0.46,0.35
207,w625671306,625671306,way,322.13,33.94444875,0.23,0.69,0.08
208,w629297578,629297578,way,240.31,25.32266625,0.61,0.27,0.12
209,w629297579,629297579,way,372.4,39.24164999999999,0.21,0.5,0.29
210,w630331862,630331862,way,414.28,43.654755,0.3,0.16,0.54
211,w631676756,631676756,way,13,,,,
212,w631683572,631683572,way,164.56,17.34051,0.24,0.1699999999999999,0.59
213,w631683573,631683573,way,49.24,5.188665,0.33,0.29,0.38
214,w631683975,631683975,way,83.78,8.8283175,0.46,0.15,0.39
215,w631819075,631819075,way,385.47,40.61890125,0.58,0.4,0.02
216,w631819126,631819126,way,243.55,25.66408125,0.5,0.31,0.19
217,w631821517,631821517,way,392.43,41.35231125,0.32,0.17,0.51
218,w632582578,632582578,way,160.79,16.943246249999998,0.42,0.14,0.44
219,w633731452,633731452,way,2735.56,288.259635,0.27,0.38,0.35
220,w640498558,640498558,way,100.7,10.6112625,0.31,0.31,0.38
221,w642007899,642007899,way,1230.43,129.65656125,0.09,0.25,0.66
222,w642007939,642007939,way,1279.87,134.86630125,0.2,0.41,0.39
223,w643528419,643528419,way,915.55,96.47608125,0.27,0.34,0.39
224,w643944386,643944386,way,2092.7,220.5182625,0.81,0.06,0.13
225,w645087064,645087064,way,63314.51,6671.76649125,0.6,0.04,0.36
226,w657651680,657651680,way,45.26,4.7692725,0.1,0.22,0.68
227,w662743557,662743557,way,489.55,51.58633125,0.21,0.14,0.65
228,w662743558,662743558,way,211.5,22.2868125,0.23,0.24,0.53
229,w781512958,781512958,way,1015.49,107.00725875,0.33,0.44,0.23
230,w784598628,784598628,way,318.27,33.53770125,0.47,0.33,0.2
231,w881761417,881761417,way,50.77,5.34988875,0.45,0.16,0.39
232,w881761418,881761418,way,198.52,20.919045,0.21,0.37,0.42
233,w881761419,881761419,way,45.1,4.7524125,0.35,0.31,0.34
234,w881761420,881761420,way,76.84,8.097015,0.14,0.51,0.35
235,w881761421,881761421,way,86.32,9.09597,0.71,0.09,0.2
236,w881761422,881761422,way,78.24,8.244539999999999,0.27,0.2,0.53
237,w881761423,881761423,way,36.29,3.82405875,0.45,0.25,0.3
238,w881761424,881761424,way,39.77,4.19076375,0.02,0.42,0.56
239,w881761425,881761425,way,61.87,6.519551249999999,0.07,0.47,0.46
240,w881761426,881761426,way,185.81,19.57972875,0.31,0.3,0.39
241,w881761430,881761430,way,193.96,20.438535,0.53,0.2,0.27
242,w881941841,881941841,way,1182.95,124.65335625,0.46,0.3,0.24
243,w979842352,979842352,way,181.01,19.07392875,0.12,0.05,0.83
244,w979842353,979842353,way,133.23,14.039111249999998,0.73,0.15,0.12
245,w979844292,979844292,way,875.14,92.2178775,0.43,0.09,0.48
246,w980611822,980611822,way,14871.09,1567.04110875,0.19,0.68,0.13
247,w980611823,980611823,way,5534.4,583.1873999999999,0.35,0.57,0.08
248,w980611824,980611824,way,3231.81,340.55197875,0.11,0.82,0.07
249,w1083205991,1083205991,way,137.72,14.512245,0.08,0.85,0.07
250,w1083279085,1083279085,way,372.51,39.25324125,0.27,0.58,0.15
251,w1083279086,1083279086,way,198.37,20.90323875,0.57,0.24,0.19
252,w1083279087,1083279087,way,210.33,22.16352375,0.14,0.6,0.26
253,w1083279088,1083279088,way,119.86,12.6302475,0.3399999999999999,0.4599999999999999,0.2
254,w1083279089,1083279089,way,106.1,11.1802875,0.39,0.54,0.07
255,w1083279095,1083279095,way,243.34,25.6419525,0.44,0.37,0.19
256,w1083279096,1083279096,way,940.41,99.09570375,0.75,0.07,0.18
257,w1083279097,1083279097,way,119.91,12.635516249999998,0.55,0.12,0.33
258,w1083279098,1083279098,way,161.7,17.0391375,0.17,0.73,0.1
259,w1083279099,1083279099,way,235,24.763125,0.48,0.52,0.0
260,w1083279100,1083279100,way,107.35,11.31200625,0.23,0.15,0.62
261,w1083279101,1083279101,way,86.57,9.122313749999998,0.35,0.5,0.15
262,w1083279102,1083279102,way,107.64,11.342565,0.03,0.34,0.63
263,w1190124851,1190124851,way,314.78,33.1699425,0.47,0.22,0.31
264,w1190124852,1190124852,way,1100.34,115.9483275,0.75,0.24,0.01
265,w1207656377,1207656377,way,158.42,16.6935075,0.46,0.27,0.27
266,w469491620,469491620,way,206.15,21.72305625,0.48,0.14,0.38
267,w476753360,476753360,way,1116.87,117.69017624999998,0.04,0.1,0.86
268,w535351168,535351168,way,88.32,9.30672,0.04,0.85,0.11
269,w543183760,543183760,way,2100.67,221.35810125,0.19,0.39,0.42
270,w543184811,543184811,way,1215.63,128.09701125,0.36,0.16,0.48
